NumberShares,EntryDate,EntryPrice,ExpiryDate,ExitPrice,SpotPrice_Close,Strike,Premium,Outcome,PnL_Call,PnL_Stock,PnL_Realized,PnL_Unrealized,PnL_Total,PnL_Percent,PnL_Call_Position,PnL_Stock_Position,PnL_Realized_Position,PnL_Unrealized_Position,PnL_Total_position,Ticker,Volatility,Vol_ZScore,MaxCorrelation,Sector
745.2889389866185,2015-05-12,13.417614936828612,2015-06-11,12.604426383972168,12.604426383972168,13.685967235565183,0.3087689482326388,Not Called,0.3087689482326388,-0.8131885528564435,0.3087689482326388,-0.8131885528564435,-0.5044196046238048,-5.044196046238047e-05,230.1220818203175,-606.0604337544426,230.1220818203175,-606.0604337544426,-375.9383519341251,NWS,0.2729955235321557,2.333186936029334,,Communication Services
310.0049147812875,2015-05-12,32.25755310058594,2015-06-11,32.14630508422852,32.14630508422852,32.90270416259766,0.6808719590920713,Not Called,0.6808719590920713,-0.11124801635741477,0.6808719590920713,-0.11124801635741477,0.5696239427346566,5.6962394273465657e-05,211.07365365530583,-34.48743183046764,211.07365365530583,-34.48743183046764,176.5862218248382,IP,0.2553027035576778,2.2112499712609237,0.5915089698505497,Consumer Cyclical
296.5159511474406,2015-05-12,33.724998474121094,2015-06-11,34.39949844360352,37.88999938964844,34.39949844360352,1.1335297816818564,Called,1.1335297816818564,0.6744999694824259,1.8080297511642822,0.0,1.8080297511642822,0.00018080297511642823,336.1096613693463,200.00000000000117,536.1096613693475,0.0,536.1096613693475,CNC,0.3681312724216609,2.2095310827767194,0.6325717585225568,Healthcare
184.84050363791218,2015-05-12,54.1006965637207,2015-06-11,54.663307189941406,54.663307189941406,55.18271049499512,1.301657087344772,Not Called,1.301657087344772,0.5626106262207031,1.301657087344772,0.5626106262207031,1.864267713565475,0.00018642677135654752,240.59895158866547,103.99323150267593,240.59895158866547,103.99323150267593,344.5921830913414,YUM,0.2729418766855,2.170411287075036,0.8476515766810818,Consumer Cyclical
101.74990554489321,2015-05-12,98.28018951416016,2015-06-11,91.50799560546876,91.50799560546876,100.24579330444337,6.116837788246762,Not Called,6.116837788246762,-6.772193908691392,6.116837788246762,-6.772193908691392,-0.6553561204446297,-6.553561204446296e-05,622.3876671875415,-689.0700905410503,622.3876671875415,-689.0700905410503,-66.68242335350872,WYNN,0.646988271452636,2.16320411943859,0.4105397106044212,Consumer Cyclical
793.3720817883498,2015-06-11,12.604426383972168,2015-07-13,12.374608993530272,12.374608993530272,12.856514911651612,0.27354239135871694,Not Called,0.27354239135871694,-0.2298173904418963,0.27354239135871694,-0.2298173904418963,0.04372500091682063,4.372500091682064e-06,217.02089648962877,-182.33070148605327,217.02089648962877,-182.33070148605327,34.69019500357549,NWS,0.2617550718312257,0.9933712309793558,1.0,Communication Services
311.0777420234886,2015-06-11,32.14630508422852,2015-07-13,29.807811737060547,29.807811737060547,32.789231185913096,0.5373880642914397,Not Called,0.5373880642914397,-2.338493347167976,0.5373880642914397,-2.338493347167976,-1.8011052828765362,-0.00018011052828765362,167.1694656301544,-727.453230173964,167.1694656301544,-727.453230173964,-560.2837645438096,IP,0.2161929473179256,0.226089493557996,1.0,Consumer Cyclical
182.93807151573333,2015-06-11,54.663307189941406,2015-07-13,54.53164291381836,54.53164291381836,55.756573333740235,1.3053748127713583,Not Called,1.3053748127713583,-0.13166427612304688,1.3053748127713583,-0.13166427612304688,1.1737105366483114,0.00011737105366483114,238.80275085360373,-24.086408761465208,238.80275085360373,-24.086408761465208,214.71634209213852,YUM,0.271497818186941,0.7511607405318627,1.0,Consumer Cyclical
109.28006819332379,2015-06-11,91.50799560546876,2015-07-13,93.33815551757814,94.52178192138672,93.33815551757814,3.444557778813355,Called,3.444557778813355,1.8301599121093801,5.274717690922735,0.0,5.274717690922735,0.0005274717690922735,376.4215089645673,200.0000000000005,576.4215089645678,0.0,576.4215089645678,WYNN,0.3962951375195483,-0.5780885115735106,1.0,Consumer Cyclical
314.6381881082527,2015-06-11,31.78253746032715,2015-07-13,32.23026657104492,32.23026657104492,32.41818820953369,0.41962453037505654,Not Called,0.41962453037505654,0.44772911071777344,0.41962453037505654,0.44772911071777344,0.86735364109283,8.6735364109283e-05,132.02990192298424,140.8726761595595,132.02990192298424,140.8726761595595,272.9025780825437,BAX,0.1802001047417086,3.860836307441454,0.4214345321619864,Healthcare
