EntryDate,EntryPrice,ExpiryDate,ExitPrice,SpotPrice_Close,Strike,Premium,Outcome,PnL_Call,PnL_Stock,PnL_Realized,PnL_Unrealized,PnL_Total,Ticker
2015-01-02,49.65332412719727,2015-02-03,46.7470932006836,46.7470932006836,50.64639060974122,0.9930664825439455,Not Called,0.9930664825439455,-2.906230926513672,0.9930664825439455,-2.906230926513672,-1.9131644439697264,GL
2015-02-03,46.7470932006836,2015-03-05,47.682035064697274,49.19491958618164,47.682035064697274,0.9349418640136721,Called,0.9349418640136721,0.9349418640136733,1.8698837280273453,0.0,1.8698837280273453,GL
2015-03-05,49.19491958618164,2015-04-06,50.178817977905275,50.703243255615234,50.178817977905275,0.9838983917236328,Called,0.9838983917236328,0.9838983917236348,1.9677967834472676,0.0,1.9677967834472676,GL
2015-04-06,50.703243255615234,2015-05-05,51.71730812072754,51.99909591674805,51.71730812072754,1.0140648651123048,Called,1.0140648651123048,1.014064865112303,2.0281297302246077,0.0,2.0281297302246077,GL
2015-05-05,51.99909591674805,2015-06-04,52.63322067260742,52.63322067260742,53.039077835083006,1.039981918334961,Not Called,1.039981918334961,0.634124755859375,1.039981918334961,0.634124755859375,1.674106674194336,GL
2015-06-04,52.63322067260742,2015-07-06,53.68588508605957,53.95391082763672,53.68588508605957,1.0526644134521486,Called,1.0526644134521486,1.052664413452149,2.1053288269042976,0.0,2.1053288269042976,GL
2015-07-06,53.95391082763672,2015-08-04,55.032989044189456,57.42679977416992,55.032989044189456,1.0790782165527344,Called,1.0790782165527344,1.0790782165527375,2.158156433105472,0.0,2.158156433105472,GL
2015-08-04,57.42679977416992,2015-09-02,52.90375900268555,52.90375900268555,58.57533576965332,1.1485359954833985,Not Called,1.1485359954833985,-4.523040771484375,1.1485359954833985,-4.523040771484375,-3.3745047760009763,GL
2015-09-02,52.90375900268555,2015-10-02,52.180572509765625,52.180572509765625,53.96183418273926,1.058075180053711,Not Called,1.058075180053711,-0.7231864929199219,1.058075180053711,-0.7231864929199219,0.33488868713378905,GL
2015-10-02,52.180572509765625,2015-11-02,53.22418395996094,54.48904800415039,53.22418395996094,1.0436114501953124,Called,1.0436114501953124,1.0436114501953142,2.0872229003906266,0.0,2.0872229003906266,GL
2015-11-02,54.48904800415039,2015-12-02,55.5788289642334,56.14189910888672,55.5788289642334,1.0897809600830077,Called,1.0897809600830077,1.0897809600830115,2.1795619201660195,0.0,2.1795619201660195,GL
2015-12-02,56.14189910888672,2016-01-04,52.12824249267578,52.12824249267578,57.264737091064454,1.1228379821777343,Not Called,1.1228379821777343,-4.0136566162109375,1.1228379821777343,-4.0136566162109375,-2.890818634033203,GL
2016-01-04,52.12824249267578,2016-02-03,48.35192108154297,48.35192108154297,53.1708073425293,1.0425648498535156,Not Called,1.0425648498535156,-3.7763214111328125,1.0425648498535156,-3.7763214111328125,-2.733756561279297,GL
2016-02-03,48.35192108154297,2016-03-04,49.31895950317383,49.462589263916016,49.31895950317383,0.9670384216308594,Called,0.9670384216308594,0.9670384216308605,1.93407684326172,0.0,1.93407684326172,GL
2016-03-04,49.462589263916016,2016-04-05,49.737770080566406,49.737770080566406,50.451841049194336,0.9892517852783204,Not Called,0.9892517852783204,0.2751808166503906,0.9892517852783204,0.2751808166503906,1.264432601928711,GL
