Ticker,Date,RollingVol
GL,2024-04-29,2.357481542402013
SMCI,2024-04-29,1.0560500165462512
PARA,2024-04-29,0.8572648416660332
TSLA,2024-04-29,0.705466510789345
LW,2024-04-29,0.6750508258673455
UAL,2024-04-29,0.6009383426087895
RMD,2024-04-29,0.589969808740722
ENPH,2024-04-29,0.5834414235960397
MU,2024-04-29,0.5748962271156172
LULU,2024-04-29,0.5645367095939149
ALB,2024-04-29,0.5498701566962652
ULTA,2024-04-29,0.5179448778955045
NVDA,2024-04-29,0.5167849445541424
LKQ,2024-04-29,0.5120702327012316
VST,2024-04-29,0.5105110252200413
ODFL,2024-04-29,0.4949835750715619
MSCI,2024-04-29,0.4949789301853881
IP,2024-04-29,0.4646954641740457
ANET,2024-04-29,0.4635623298069307
NCLH,2024-04-29,0.4624030857986465
DELL,2024-04-29,0.4619348520133814
HUM,2024-04-29,0.4584094663287897
TER,2024-04-29,0.4545639498408763
INTC,2024-04-29,0.451879491872435
AMD,2024-04-29,0.4468815100491467
NEM,2024-04-29,0.4401965003427898
DXCM,2024-04-29,0.4339440893364401
WBA,2024-04-29,0.4320601367283289
META,2024-04-29,0.4217374647460351
GE,2024-04-29,0.4162106393147071
ON,2024-04-29,0.4161768704010176
BXP,2024-04-29,0.4144824952504194
KMX,2024-04-29,0.4061581083885506
HAS,2024-04-29,0.3984383801187483
CSGP,2024-04-29,0.3946524684402301
NFLX,2024-04-29,0.393872867138249
TDY,2024-04-29,0.3896480962817868
MPWR,2024-04-29,0.386864472958622
MRNA,2024-04-29,0.3865608342937126
WDC,2024-04-29,0.3837217799734699
AVGO,2024-04-29,0.3814607398179458
GOOGL,2024-04-29,0.3806495195598403
CZR,2024-04-29,0.3793607337980152
FSLR,2024-04-29,0.3751362428384637
EL,2024-04-29,0.3745583076323331
F,2024-04-29,0.3715842415048553
DECK,2024-04-29,0.3698224966748674
GOOG,2024-04-29,0.3695115817309461
EFX,2024-04-29,0.3682058932992466
AES,2024-04-29,0.3631423974793181
