NumberShares,EntryDate,EntryPrice,ExpiryDate,ExitPrice,SpotPrice_Close,Strike,Premium,Outcome,PnL_Call,PnL_Stock,PnL_Realized,PnL_Unrealized,PnL_Total,PnL_Percent,PnL_Call_Position,PnL_Stock_Position,PnL_Realized_Position,PnL_Unrealized_Position,PnL_Total_position,Ticker
801.3890654,17/02/2015,12.47833347,18/03/2015,11.94833279,11.94833279,12.72790014,0,Not Called,0,-0.530000687,0,-0.530000687,-0.530000687,-5.30E-05,0,-424.7367549,0,-424.7367549,-424.7367549,DECK
676.6295103,17/02/2015,14.77913666,18/03/2015,13.5990591,13.5990591,15.07471939,0,Not Called,0,-1.180077553,0,-1.180077553,-1.180077553,-0.000118008,0,-798.4752967,0,-798.4752967,-798.4752967,TKO
718.3908007,17/02/2015,13.92000008,18/03/2015,12.67000008,12.67000008,14.19840008,0,Not Called,0,-1.25,0,-1.25,-1.25,-0.000125,0,-897.9885008,0,-897.9885008,-897.9885008,ENPH
531.2021269,17/02/2015,18.82522583,18/03/2015,16.38109398,16.38109398,19.20173035,0,Not Called,0,-2.444131851,0,-2.444131851,-2.444131851,-0.000244413,0,-1298.328038,0,-1298.328038,-1298.328038,FCX
3215.434192,17/02/2015,3.109999895,18/03/2015,2.75,2.75,3.172199893,0,Not Called,0,-0.359999895,0,-0.359999895,-0.359999895,-3.60E-05,0,-1157.555972,0,-1157.555972,-1157.555972,AMD
836.9368496,18/03/2015,11.94833279,17/04/2015,11.875,11.875,12.18729944,0,Not Called,0,-0.073332787,0,-0.073332787,-0.073332787,-7.33E-06,0,-61.37491135,0,-61.37491135,-61.37491135,DECK
735.3449914,18/03/2015,13.5990591,17/04/2015,11.87450886,11.87450886,13.87104029,0,Not Called,0,-1.724550247,0,-1.724550247,-1.724550247,-0.000172455,0,-1268.139387,0,-1268.139387,-1268.139387,TKO
789.2659779,18/03/2015,12.67000008,17/04/2015,12.92340008,13.64999962,12.92340008,0,Called,0,0.253400002,0.253400002,0,0.253400002,2.53E-05,0,200,200,0,200,ENPH
610.4598394,18/03/2015,16.38109398,17/04/2015,16.70871586,18.62451744,16.70871586,0,Called,0,0.32762188,0.32762188,0,0.32762188,3.28E-05,0,200,200,0,200,FCX
3636.363636,18/03/2015,2.75,17/04/2015,2.579999924,2.579999924,2.805,0,Not Called,0,-0.170000076,0,-0.170000076,-0.170000076,-1.70E-05,0,-618.1820956,0,-618.1820956,-618.1820956,AMD
842.1052632,17/04/2015,11.875,18/05/2015,12.1125,12.11999989,12.1125,0,Called,0,0.2375,0.2375,0,0.2375,2.38E-05,0,200,200,0,200,DECK
842.1400935,17/04/2015,11.87450886,18/05/2015,11.93456554,11.93456554,12.11199903,0,Not Called,0,0.060056686,0,0.060056686,0.060056686,6.01E-06,0,50.5761435,0,50.5761435,50.5761435,TKO
3875.969107,17/04/2015,2.579999924,18/05/2015,2.349999905,2.349999905,2.631599922,0,Not Called,0,-0.230000019,0,-0.230000019,-0.230000019,-2.30E-05,0,-891.4729685,0,-891.4729685,-891.4729685,AMD
769.8229543,17/04/2015,12.98999977,18/05/2015,12.78999996,12.78999996,13.24979977,0,Not Called,0,-0.199999809,0,-0.199999809,-0.199999809,-2.00E-05,0,-153.964444,0,-153.964444,-153.964444,BLDR
122.473972,17/04/2015,81.65000153,18/05/2015,83.28300156,88.26714325,83.28300156,0,Called,0,1.633000031,1.633000031,0,1.633000031,0.0001633,0,200,200,0,200,NFLX
837.9023068,18/05/2015,11.93456554,17/06/2015,12.17325686,14.22070026,12.17325686,0,Called,0,0.238691311,0.238691311,0,0.238691311,2.39E-05,0,200,200,0,200,TKO
4255.319322,18/05/2015,2.349999905,17/06/2015,2.396999903,2.470000029,2.396999903,0,Called,0,0.046999998,0.046999998,0,0.046999998,4.70E-06,0,200,200,0,200,AMD
781.8608311,18/05/2015,12.78999996,17/06/2015,13.04579996,13.25,13.04579996,0,Called,0,0.255799999,0.255799999,0,0.255799999,2.56E-05,0,200,200,0,200,BLDR
106.8154938,18/05/2015,93.61937714,17/06/2015,91.3415451,91.3415451,95.49176468,0,Not Called,0,-2.277832031,0,-2.277832031,-2.277832031,-0.000227783,0,-243.3077533,0,-243.3077533,-243.3077533,WYNN
147.5579238,18/05/2015,67.76999664,17/06/2015,66.40000153,66.40000153,69.12539658,0,Not Called,0,-1.369995117,0,-1.369995117,-1.369995117,-0.000137,0,-202.1536351,0,-202.1536351,-202.1536351,IDXX
