Date,Open,High,Low,Close,Volume
2015-01-02,24.778670852228824,24.789794015599888,23.87997390028452,24.320425033569336,212818400
2015-01-05,24.08908208842444,24.169164129068307,23.4484274604303,23.635284423828125,257142000
2015-01-06,23.699797868903328,23.89777802149258,23.274918008457785,23.63751220703125,263188400
2015-01-07,23.846619361287132,24.0690691750945,23.735394454383446,23.96896743774414,160423600
2015-01-08,24.298182944962345,24.94773570086716,24.180283171231643,24.8898983001709,237458000
2015-01-09,25.063413321130795,25.192434585486712,24.51618713114462,24.916597366333008,214798000
2015-01-12,25.047841516104413,25.05451473706078,24.202533484211735,24.302635192871094,198603200
2015-01-13,24.787571772738204,25.092328492802338,24.22699923853741,24.518407821655273,268367600
2015-01-14,24.255914111294185,24.5784654790757,24.135791076471406,24.424976348876953,195826400
2015-01-15,24.46947335107907,24.482819793453064,23.72649197487256,23.762083053588867,240056000
2015-01-16,23.80879582865299,23.931143866715107,23.401712389817426,23.57744789123535,314053200
2015-01-20,23.988983176267695,24.240352510869247,23.690901289235732,24.18474006652832,199599600
2015-01-21,24.235898306145774,24.705267389677548,24.08463241623283,24.369369506835938,194303600
2015-01-22,24.52730703085607,25.018920716984958,24.40718397629891,25.00334930419922,215185600
2015-01-23,24.981111701811493,25.30366321336069,24.809824415805338,25.13237762451172,185859200
2015-01-26,25.30143294436429,25.439352394096968,25.09233134289731,25.15906524658203,222460000
2015-01-27,25.007798768198853,25.02114690634776,24.253694303322035,24.27816390991211,382274800
2015-01-28,26.1667658481308,26.27576745744223,25.65068244934082,25.65068244934082,585908400
2015-01-29,25.87535333445469,26.51378469048546,25.706291059166713,26.44927406311035,337745600
2015-01-30,26.338053043985266,26.693972335696472,25.99325522245303,26.06221580505371,334982000
2015-02-02,26.260190199188354,26.509332800113246,25.82196397800295,26.389209747314453,250956400
2015-02-03,26.360291794276034,26.49153631431275,26.162311679441768,26.393659591674805,207662800
2015-02-04,26.360294135946166,26.807418587633215,26.31802814234265,26.59609031677246,280598800
2015-02-05,26.803784106725747,26.850684413148844,26.631822563975213,26.785919189453125,168984800
2015-02-06,26.80378629814129,26.855152412118425,26.45316192316014,26.560359954833984,174826400
2015-02-09,26.475492953370605,26.763584115561414,26.448693022626355,26.736785888671875,155559200
2015-02-10,26.83729039844191,27.279480012235624,26.835058348126257,27.250446319580078,248034000
2015-02-11,27.41793861360003,27.898093467941823,27.35764088949896,27.88916015625,294247200
2015-02-12,28.152686334663176,28.469812930001105,28.04325625033411,28.24201774597168,297898000
2015-02-13,28.42514848436464,28.42514848436464,28.061124958265673,28.380483627319336,217088800
2015-02-17,28.472041346541108,28.782468344590505,28.344744655424268,28.5479736328125,252609600
2015-02-18,28.50331227467583,28.76013945726517,28.463113222584848,28.746740341186523,179566800
2015-02-19,28.69313144069689,28.815962312285166,28.65963366104055,28.686431884765625,149449600
2015-02-20,28.724410910623213,28.920940399169922,28.597115879331383,28.920940399169922,195793600
2015-02-23,29.037067738780927,29.70258331298828,28.956669632602775,29.70258331298828,283896400
2015-02-24,29.68918473251233,29.836581831118046,29.293893752691638,29.517221450805664,276912400
2015-02-25,29.380989705088034,29.38992472080922,28.6194414810838,28.762371063232422,298846800
2015-02-26,28.762367196280813,29.22688912773877,28.275514543942222,29.126392364501953,365150000
2015-02-27,29.032596120210176,29.159894523514826,28.63954066105051,28.68867301940918,248059200
2015-03-02,28.865103746677615,29.09513099327998,28.652943124085446,28.829370498657227,192386800
